Sell ID,Name,Type,Price
176,Jayant Yadav,All-Rounder,"2,00,00,000"
177,Darshan Nalkande,All-Rounder,"1,00,00,000"
178,B. Sai Sudharsan,All-Rounder,"1,00,00,000"
179,Gurkeerat Singh,All-Rounder,"2,00,00,000"
180,Alzarri Joseph,Bowler,"2,00,00,000"
181,Varun Aaron,Bowler,"2,00,00,000"
182,Pradeep Sangwan,All-Rounder,"1,00,00,000"
183,Shreyas Iyer,Batsman,"2,00,00,000"
184,Mohammad  Nabi,All-Rounder,"2,00,00,000"
185,Nitish Rana,All-Rounder,"2,00,00,000"
186,Sam Billings,Wicket Keeper,"2,00,00,000"
187,Umesh Yadav,Bowler,"2,00,00,000"
188,Shivam  Mavi,All-Rounder,"2,00,00,000"
189,Sheldon Jackson,Wicket Keeper,"2,00,00,000"
190,Ajinkya Rahane,Batsman,"2,00,00,000"
191,Rinku Singh,Batsman,"3,00,00,000"
192,Anukul Roy,All-Rounder,"1,00,00,000"
193,Alex Hales,Batsman,"2,00,00,000"
194,Tim Southee,Bowler,"2,00,00,000"
195,Baba Indrajith,Wicket Keeper,"1,00,00,000"
196,Chamika Karunaratne,All-Rounder,"2,00,00,000"
197,Abhijeet Tomar,Batsman,"1,00,00,000"
198,Aman Khan,All-Rounder,"1,00,00,000"
199,Ramesh Kumar,Batsman,"1,00,00,000"
200,Pratham Singh,Batsman,"1,00,00,000"
201,Ashok Sharma,Bowler,"2,00,00,000"
202,Mark Wood,Bowler,"2,00,00,000"
203,Avesh Khan,Bowler,"2,00,00,000"
204,Ankit Singh Rajpoot,Bowler,"2,00,00,000"
205,K. Gowtham,All-Rounder,"2,00,00,000"
206,Dushmanta Chameera,Bowler,"2,00,00,000"
207,Manan Vohra,Batsman,"1,00,00,000"
208,Evin Lewis,Batsman,"2,00,00,000"
209,Mohsin Khan,Bowler,"1,00,00,000"
210,Mayank Yadav,Bowler,"1,00,00,000"
211,Ayush Badoni,All-Rounder,"1,00,00,000"
212,Kyle Mayers,All-Rounder,"2,00,00,000"
213,Karan Sharma,All-Rounder,"1,00,00,000"
214,Deepak Hooda,All-Rounder,"2,00,00,000"
215,Ishan Kishan,Wicket Keeper,"2,00,00,000"
216,Dewald Brevis,Batsman,"2,00,00,000"
217,N. Tilak Varma,All-Rounder,"2,00,00,000"
218,Sanjay Yadav,All-Rounder,"2,00,00,000"
